COG count
COG4266 17
COG2921 1
COG1670 22
COG2509 5
COG1168 5
COG2132 4
COG5501 3
COG2908 6
COG2238 6
COG0758 4
COG2234 11
COG1179 3
COG3638 7
COG4962 4
COG0306 13
COG5064 6
COG1946 10
COG1075 16
COG3246 23
COG2189 2
COG4095 11
COG4852 1
COG1671 4
COG1151 1
COG4249 1
COG3760 4
COG1488 15
COG1636 5
COG2040 10
COG3540 4
COG2206 4
COG0427 3
COG3920 6
COG4619 2
COG3704 0
COG2048 4
COG1846 15
COG3150 1
COG2107 2
COG1405 6
COG3380 6
COG5531 1
COG3319 0
COG3302 1
COG1661 4
COG1794 11
COG4160 15
COG2136 6
COG1118 5
COG4946 8
COG2746 2
COG3938 7
COG0594 6
COG4553 2
COG4798 13
COG2222 0
COG3613 4
COG4750 6
COG5047 6
COG3492 3
COG5395 2
COG0856 6
COG1338 12
COG0599 3
COG5454 1
COG3626 6
COG1597 1
COG4772 5
COG1942 3
COG5317 1
COG5258 6
COG1809 3
COG3387 7
COG3967 6
COG1657 3
COG0705 13
COG4886 16
COG2871 19
COG3621 2
COG1877 2
COG0510 5
COG1956 2
COG1319 18
COG1831 6
COG1834 11
COG1715 1
COG4696 2
COG1551 3
COG4126 1
COG2261 0
COG2218 6
COG2834 2
COG0779 11
COG0598 2
COG1705 2
COG1843 2
COG4535 13
COG1925 2
COG1618 6
COG2157 6
COG1501 3
COG3535 6
COG2821 2
COG0063 35
COG5192 6
COG3829 11
COG5424 2
COG2820 2
COG5291 6
COG2153 9
COG1244 1
COG0615 7
COG0826 1
COG1155 1
COG4607 1
COG5354 6
COG4263 2
COG1204 46
COG1443 10
COG1430 8
COG1739 1
COG3846 1
COG3875 1
COG1817 6
COG5305 0
COG1564 4
COG5023 6
COG1324 8
COG5126 6
COG0630 2
COG2344 2
COG2164 6
COG5594 6
COG5057 6
COG3618 5
COG5504 1
COG3523 2
COG5028 6
COG3803 2
COG2005 1
COG5321 1
COG1428 7
COG1929 1
COG4412 2
COG3892 14
COG4771 27
COG2128 10
COG2016 6
COG2818 7
COG2367 3
COG2937 3
COG1389 6
COG3055 3
COG1833 3
COG1093 6
COG5114 6
COG3785 7
COG4525 8
COG2269 6
COG2213 4
COG0431 5
COG1541 8
COG5229 6
COG1413 17
COG4233 0
COG2956 15
COG3795 3
COG0710 2
COG3761 8
COG5077 6
COG2063 5
COG5274 6
COG4941 1
COG1286 3
COG3816 3
COG4575 3
COG0252 3
COG4099 2
COG1041 1
COG1886 5
COG5452 7
COG0384 7
COG0409 1
COG2365 6
COG3147 1
COG3206 6
COG1727 6
COG4529 4
COG3040 1
COG1566 18
COG3083 1
COG1272 2
COG3885 2
COG5331 6
COG4294 2
COG5155 6
COG5560 6
COG1414 2
COG2050 12
COG4389 1
COG3482 6
COG4989 3
COG2902 1
COG5218 6
COG1818 6
COG3858 3
COG3453 1
COG2103 3
COG1085 4
COG4671 6
COG4789 0
COG2983 1
COG1148 1
COG1837 1
COG2321 1
COG2142 1
COG4970 3
COG2273 3
COG3253 1
COG1987 2
COG4138 6
COG1245 1
COG5010 106
COG5236 6
COG0434 4
COG4558 1
COG3627 6
COG1243 5
COG5076 6
COG3030 6
COG2823 8
COG0634 6
COG2835 3
COG1097 6
COG1948 0
COG1499 6
COG3442 2
COG1979 0
COG5049 6
COG4627 2
COG4964 2
COG2972 2
COG5411 6
COG3703 2
COG5044 6
COG4394 1
COG0390 2
COG4229 2
COG5410 2
COG2604 3
COG5183 6
COG5181 6
COG1021 0
COG1084 6
COG3675 1
COG1976 6
COG1802 6
COG5141 6
COG3960 1
COG2967 4
COG1966 1
COG4952 3
COG2108 6
COG5062 6
COG1449 4
COG5425 2
COG1227 3
COG0589 3
COG1786 1
COG3107 0
COG1720 1
COG3303 1
COG3631 0
COG5092 6
COG3579 3
COG2453 4
COG1246 14
COG3376 1
COG2738 3
COG1080 3
COG5520 1
COG0121 1
COG2909 2
COG1251 8
COG5207 6
COG4773 9
COG3529 2
COG4420 1
COG1352 2
COG4371 2
COG4623 1
COG0053 1
COG3311 1
COG1608 1
COG4135 6
COG1721 5
COG1713 2
COG5432 6
COG1811 2
COG5042 4
COG4324 1
COG1677 4
COG5526 6
COG2060 2
COG5239 6
COG1359 4
COG4792 1
COG3828 2
COG2989 1
COG5316 6
COG4972 3
COG3709 1
COG5083 6
COG1231 2
COG1484 3
COG1759 6
COG1287 1
COG2411 6
COG1537 6
COG1746 6
COG0429 6
COG2249 2
COG2939 2
COG4880 1
COG5066 6
COG2032 1
COG1345 1
COG3427 3
COG5307 6
COG4949 1
COG0288 2
COG4192 6
COG4695 1
COG5002 32
COG1561 4
COG5263 6
COG1056 1
COG4058 6
COG5267 5
COG1500 6
COG4308 1
COG1878 1
COG0327 2
COG2901 1
COG4198 3
COG2740 2
COG5244 6
COG2003 0
COG1867 6
COG1785 2
COG2391 1
COG1076 3
COG1224 6
COG1808 0
COG3460 1
COG3475 1
COG1534 1
COG1913 6
COG3424 2
COG5508 1
COG5170 6
COG5053 6
COG5441 1
COG5209 6
COG5574 6
COG4323 2
COG1896 1
COG5328 2
COG2831 1
COG1577 2
COG4625 3
COG5329 6
COG4299 1
COG3185 5
COG2137 1
COG3770 6
COG5158 6
COG4590 1
COG3261 10
COG2912 1
COG3507 4
COG1040 1
COG1229 6
COG4336 2
COG1953 0
COG1462 1
COG4559 3
COG3575 1
COG4123 2
COG3075 1
COG1391 7
COG2839 1
COG3483 3
COG2977 1
COG3975 2
COG4279 6
COG2348 1
COG1571 6
COG3111 1
COG2333 4
COG5488 1
COG5447 1
COG3490 0
COG3115 1
COG5534 1
COG2314 1
COG5164 6
COG1113 2
COG2719 1
COG5190 6
COG5154 6
COG5056 6
COG2163 1
COG1294 0
COG1872 0
COG2991 1
COG0725 1
COG0853 2
COG3594 1
COG3338 6
COG1355 0
COG0555 1
COG2212 1
COG2927 1
COG4986 1
COG1502 1
COG1431 6
COG1317 2
COG5177 6
COG1762 1
COG3893 5
COG5650 6
COG3164 1
COG4685 6
COG1174 1
COG4713 6
COG4942 6
COG2978 1
COG2443 6
COG1095 6
COG1315 1
COG5043 6
COG5590 1
COG2182 1
COG3701 1
COG1936 5
COG5182 6
COG3582 6
COG1072 2
COG1415 6
COG1303 6
COG0375 4
COG3910 1
COG3203 1
COG1553 2
COG3693 4
COG2847 1
COG4517 1
COG3372 0
COG3486 1
COG1516 1
COG4981 6
COG5104 6
COG1977 1
COG4502 6
COG2827 1
COG4579 2
COG3751 1
COG3488 3
COG3850 1
COG1626 1
COG3342 3
COG3798 6
COG5486 3
COG5522 1
COG1841 3
COG3663 1
COG1761 6
COG3571 1
COG1650 6
COG1379 0
COG2386 1
COG3857 2
COG1274 2
COG3159 1
COG1105 3
COG5640 1
COG4765 1
COG2943 2
COG1498 6
COG5110 6
COG2186 1
COG1849 6
COG2938 2
COG3214 2
COG2129 6
COG1863 1
COG1030 1
COG1740 1
COG0214 6
COG0490 1
COG3878 1
COG1555 1
COG3899 22
COG3593 4
COG3501 0
COG4139 6
COG1911 6
COG2340 1
COG5505 1
COG4103 1
COG0478 8
COG4208 0
COG5027 6
COG3267 2
COG2514 8
COG3158 1
COG2219 6
COG3024 0
COG4248 1
COG1907 6
COG3635 0
COG2356 1
COG3323 1
COG3172 1
COG3750 1
COG3781 1
COG1621 1
COG3331 2
COG5262 6
COG3980 2
COG2216 1
COG4287 1
COG3284 1
COG3231 1
COG1646 1
COG5259 6
COG1851 6
COG1859 2
COG3806 1
COG4569 1
COG2085 1
COG1714 0
COG1704 1
COG4968 0
COG1426 4
COG5144 6
COG5436 1
COG4286 1
COG3707 1
COG4615 1
COG2068 6
COG5050 6
COG5214 6
COG2201 3
COG2854 1
COG2215 0
COG2999 6
COG1934 1
COG3236 1
COG4662 3
COG1110 0
COG5116 6
COG0374 0
COG3931 1
COG2062 1
COG1873 3
COG3812 1
COG0298 1
COG1346 1
COG2181 1
COG2452 1
COG4191 48
COG3667 0
COG3071 1
COG2312 1
COG2078 1
COG5175 6
COG3628 1
COG0393 1
COG4849 1
COG1632 6
COG2014 1
COG2167 6
COG4067 1
COG3435 1
COG1983 1
COG2336 1
COG4276 2
COG5055 6
COG4988 3
COG1023 1
COG3738 1
COG2257 1
COG2914 1
COG1803 2
COG5018 1
COG4626 1
COG5227 6
COG5394 1
COG5653 1
COG4362 1
COG0729 1
COG1408 2
COG3390 6
COG4813 1
COG3242 1
COG3142 3
COG1399 1
COG2177 0
COG5196 6
COG2428 6
COG1563 1
COG3744 1
COG1588 6
COG5234 6
COG1988 1
COG1254 1
COG3809 0
COG4354 1
COG4667 1
COG2339 1
COG4830 6
COG1440 0
COG3404 1
COG2013 1
COG3124 1
COG1915 1
COG1774 1
COG2893 1
COG1736 6
COG3156 1
COG5088 6
COG3930 1
COG5103 6
COG3065 1
COG3283 0
COG3755 1
COG4790 1
COG3358 1
COG4262 1
COG3437 2
COG3458 1
COG2126 6
COG3208 1
COG2235 0
COG3668 0
COG2378 1
COG2152 1
COG5011 1
COG2106 6
COG3008 1
COG5533 6
COG2370 2
COG5347 6
COG1712 1
COG5179 6
COG4776 6
COG3213 1
COG1590 6
COG2246 1
COG4544 1
COG1639 2
COG5228 6
COG3278 1
COG2240 1
COG4759 6
COG5206 6
COG4055 6
COG3887 1
COG4365 1
COG4168 1
COG2715 1
COG1515 1
COG2004 6
COG1923 1
COG5659 6
COG1668 1
COG5041 6
COG1887 1
COG4774 10
COG4843 1
COG1150 0
Non-CDS 2113
