COG count
COG0637 14
COG0192 178
COG1250 133
COG0815 36
COG0297 82
COG1797 51
COG1173 99
COG0127 85
COG0513 171
COG0201 185
COG2862 3
COG0616 87
COG1825 35
COG1605 1
COG0141 142
COG4775 96
COG1132 529
COG0128 145
COG0831 36
COG1064 17
COG1190 114
COG0054 29
COG2255 76
COG1850 86
COG0136 118
COG1280 28
COG0112 190
COG0842 59
COG2924 3
COG0858 21
COG0418 69
COG1200 157
COG1410 218
COG1136 225
COG0445 214
COG2844 27
COG2094 21
COG0475 52
COG2171 56
COG2046 60
COG0322 214
COG2081 58
COG1133 6
COG1696 12
COG1020 28
COG0667 146
COG2863 10
COG1853 96
COG0385 17
COG0839 33
COG4586 39
COG1192 89
COG0502 69
COG0131 75
COG0108 129
COG1211 58
COG0379 78
COG0024 117
COG4147 50
COG0737 17
COG0836 99
COG0328 42
COG1758 22
COG0745 275
COG0578 20
COG0365 432
COG0176 121
COG0193 54
COG1301 23
COG0649 168
COG1845 55
COG4547 42
COG1005 127
COG0168 85
COG2042 6
COG0007 59
COG0857 18
COG1225 111
COG0515 135
COG0264 81
COG1171 145
COG0008 169
COG1284 1
COG2209 9
COG1290 145
COG3046 98
COG3250 16
COG4102 8
COG0318 309
COG4487 39
COG0739 71
COG1357 66
COG2089 71
COG0816 16
COG1201 78
COG0849 27
COG1181 89
COG0526 67
COG0195 143
COG1638 35
COG0512 95
COG1418 3
COG0117 41
COG0763 95
COG3333 49
COG0084 86
COG0670 71
COG1044 65
COG2226 232
COG0343 127
COG0840 20
COG1134 15
COG4923 1
COG1816 6
COG0847 50
COG2138 28
COG0250 83
COG2133 50
COG1077 157
COG1131 190
COG2252 35
COG0564 121
COG0834 65
COG0561 6
COG0039 55
COG1004 136
COG0556 242
COG0234 42
COG3146 63
COG1240 25
COG0524 147
COG2302 25
COG1995 94
COG1403 88
COG0473 156
COG0367 77
COG4576 8
COG1032 100
COG1185 248
COG0714 121
COG1625 83
COG0352 38
COG1009 183
COG3537 5
COG0821 117
COG5217 6
COG0337 114
COG0143 204
COG0208 94
COG0196 64
COG0625 188
COG1485 22
COG0358 117
COG1045 59
COG1573 56
COG0530 43
COG0351 56
COG0757 39
COG0211 45
COG0752 118
COG4591 90
COG0404 359
COG0283 45
COG1894 89
COG0838 32
COG0049 59
COG0554 66
COG1234 103
COG0356 93
COG0483 141
COG0807 11
COG0633 96
COG0272 137
COG0364 69
COG0489 96
COG0837 26
COG0376 117
COG1219 164
COG0256 40
COG0031 202
COG0022 148
COG2870 29
COG0517 6
COG0248 77
COG0092 105
COG0802 27
COG2710 77
COG0101 78
COG0071 25
COG1218 62
COG0210 264
COG1752 7
COG2319 91
COG0423 43
COG1143 92
COG1054 86
COG2087 22
COG0042 149
COG1386 43
COG1734 15
COG0294 95
COG4134 5
COG0284 78
COG0756 35
COG2309 8
COG3239 95
COG0242 73
COG1042 21
COG0767 42
COG0064 182
COG3534 2
COG4146 13
COG0494 26
COG2371 9
COG0552 89
COG0795 51
COG1314 3
COG1473 132
COG0285 73
COG1799 19
COG0345 44
COG0565 47
COG1586 31
COG0260 116
COG1376 4
COG1984 13
COG4370 31
COG0189 94
COG0219 46
COG1388 12
COG0323 23
COG0178 400
COG0222 37
COG5096 6
COG0657 27
COG1836 40
COG2096 19
COG1612 48
COG0424 50
COG2170 44
COG5470 16
COG0290 60
COG2894 37
COG2352 186
COG2317 63
COG4993 21
COG2038 31
COG0161 156
COG1066 85
COG1905 36
COG0591 11
COG0820 91
COG0673 224
COG4597 22
COG0405 99
COG0263 86
COG1622 74
COG0629 53
COG4983 6
COG1024 144
COG0271 23
COG2331 6
COG1453 90
COG5243 6
COG2199 10
COG1838 1
COG0574 140
COG2239 86
COG0809 54
COG3313 5
COG0291 17
COG0280 61
COG0244 41
COG1366 13
COG1165 19
COG2890 70
COG0537 57
COG0652 132
COG1196 235
COG5272 6
COG0025 42
COG0860 60
COG2308 115
COG1259 4
COG1086 116
COG0579 95
COG0319 25
COG1304 96
COG5048 6
COG0522 81
COG0703 41
COG4341 22
COG0541 179
COG1902 54
COG0362 110
COG0109 58
COG4976 16
COG1368 6
COG0179 69
COG2197 51
COG0044 123
COG2931 30
COG2804 36
COG1115 29
COG2301 28
COG0238 33
COG0668 43
COG0274 17
COG0015 174
COG1804 120
COG0750 55
COG0366 110
COG1587 25
COG1640 65
COG0435 48
COG5398 46
COG0471 86
COG0817 41
COG0215 150
COG0090 121
COG0245 46
COG1010 43
COG0685 59
COG2055 40
COG0142 169
COG0045 81
COG0174 255
COG1160 136
COG0180 125
COG1760 8
COG0852 56
COG4956 38
COG0118 49
COG2204 97
COG5009 107
COG2230 89
COG1082 49
COG0553 36
COG2353 1
COG1187 71
COG2816 16
COG0150 111
COG0845 73
COG0720 74
COG0392 7
COG4094 52
COG1083 17
COG2379 5
COG0051 37
COG1939 8
COG2217 117
COG0640 11
COG0002 72
COG1741 58
COG1600 58
COG0254 32
COG0484 216
COG2334 19
COG1540 20
COG1164 27
COG2520 6
COG3288 100
COG0138 182
COG0470 54
COG0313 64
COG0509 34
COG0286 23
COG1546 20
COG0498 143
COG3000 22
COG0444 97
COG4274 6
COG0785 46
COG0326 121
COG0182 38
COG0551 2
COG1281 51
COG0186 33
COG5467 3
COG0696 131
COG1127 38
COG0079 173
COG1062 20
COG1697 6
COG1067 5
COG2877 51
COG2165 1
COG0278 46
COG0782 19
COG0059 130
COG1282 119
COG0796 27
COG0139 41
COG1018 20
COG1022 150
COG1451 4
COG1159 85
COG1807 61
COG0557 99
COG0466 155
COG0289 63
COG0437 21
COG0811 37
COG1119 6
COG0080 61
COG2084 103
COG1141 16
COG4992 112
COG3808 94
COG2175 61
COG0790 61
COG3542 16
COG0194 93
COG0257 17
COG1559 21
COG0748 2
COG0226 72
COG3718 6
COG0281 70
COG1986 1
COG0439 62
COG1442 31
COG2080 16
COG1725 32
COG0074 65
COG3833 3
COG3510 4
COG0041 57
COG1479 4
COG1861 6
COG0505 145
COG0751 125
COG1206 89
COG2770 6
COG0134 72
COG0819 17
COG2205 21
COG0159 74
COG1539 7
COG4243 21
COG3926 4
COG3491 26
COG0684 11
COG0497 60
COG1194 54
COG1545 2
COG0799 34
COG0773 112
COG4231 43
COG3917 20
COG0698 14
COG0149 60
COG0569 84
COG5621 2
COG0373 70
COG4105 17
COG1209 68
COG0100 45
COG4948 67
COG0221 56
COG1606 54
COG2045 34
COG0581 55
COG1305 24
COG0854 71
COG0533 138
COG0777 72
COG4974 93
COG2076 8
COG0440 55
COG0768 223
COG1057 22
COG2227 134
COG1529 113
COG1914 7
COG1666 24
COG5405 21
COG4657 2
COG1175 65
COG0072 178
COG0567 152
COG0052 111
COG3741 7
COG1191 5
COG0746 8
COG0414 63
COG3748 26
COG1593 58
COG0765 57
COG0613 21
COG1513 6
COG1879 28
COG1686 50
COG0132 31
COG4176 63
COG2945 9
COG1207 123
COG1241 6
COG4301 6
COG1129 69
COG0334 42
COG1651 29
COG2225 103
COG0563 63
COG1729 13
COG0258 18
COG2070 47
COG0855 105
COG2251 20
COG1974 87
COG0336 88
COG0711 25
COG0402 40
COG1034 53
COG1091 36
